レースコード,レース日,レース場,レース回,締切時刻,取得日時,結果記録時刻,決まり手,1着_艇番,1着_選手名,1着_レースタイム,2着_艇番,2着_選手名,2着_レースタイム,3着_艇番,3着_選手名,3着_レースタイム,4着_艇番,4着_選手名,4着_レースタイム,5着_艇番,5着_選手名,5着_レースタイム,6着_艇番,6着_選手名,6着_レースタイム,1コース_艇番,1コース_スタートタイミング,1コース_F,2コース_艇番,2コース_スタートタイミング,2コース_F,3コース_艇番,3コース_スタートタイミング,3コース_F,4コース_艇番,4コース_スタートタイミング,4コース_F,5コース_艇番,5コース_スタートタイミング,5コース_F,6コース_艇番,6コース_スタートタイミング,6コース_F,天候,風向,風速(m),波の高さ(cm),気温(℃),水温(℃)
202609092101,2026-09-09,21,01R,08:32,2026-09-09T08:48:17.360079+09:00,0835,逃　げ,1,奈須　　啓太,"1'50""9",4,別府　　昌樹,"1'52""1",2,岡　　　暢祐,"1'53""6",3,鈴木　　秀茉,"1'54""5",5,酒見　　峻介,,6,岡本　　亜子,,1,0.26,,2,0.32,,3,0.32,,4,0.3,,5,0.3,,6,0.63,,2,2,7.0,7.0,24.1,26.1
202609091401,2026-09-09,14,01R,08:44,2026-09-09T09:02:25.827306+09:00,0847,逃　げ,1,小野　　生奈,"1'51""0",5,樫葉　　新心,"1'52""2",2,水野　　望美,"1'53""9",6,大豆生田　蒼,"1'55""0",3,原村　　百那,,4,深尾　　巴恵,,1,0.13,,2,0.13,,3,0.17,,4,0.15,,5,0.17,,6,0.16,,3,1,2.0,2.0,26.0,27.0
202609092102,2026-09-09,21,02R,08:58,2026-09-09T09:12:27.763933+09:00,0901,逃　げ,1,秋山　　広一,"1'48""6",4,仲谷　　颯仁,"1'50""0",2,屋良　　龍紀,"1'52""2",3,小池　　公生,"1'52""7",5,福島　　陽子,,6,山田　　陽翔,,1,0.17,,2,0.31,,3,0.35,,4,0.33,,5,0.32,,6,0.32,,2,1,5.0,5.0,24.4,26.1
202609092103,2026-09-09,21,03R,09:24,2026-09-09T09:42:26.634865+09:00,0927,逃　げ,1,野中　　一平,"1'50""3",5,岡　　　祐臣,"1'50""9",2,川上　　清人,"1'53""5",6,伊藤　　玲奈,"1'54""5",4,上之　　晃弘,,3,鶴本　　崇文,,1,0.13,,2,0.27,,3,0.19,,4,0.31,,5,0.18,,6,0.33,,2,2,6.0,6.0,24.4,26.0
202609091402,2026-09-09,14,02R,09:10,2026-09-09T09:50:27.236730+09:00,0937,まくり,3,奥村　明日香,"1'50""8",2,喜多須　杏奈,"1'53""1",4,西岡　　成美,"1'54""5",6,藤原　　早菜,"1'54""8",5,今井　　美亜,,1,山崎　小葉音,,1,0.07,,2,0.07,,3,0.13,,4,0.06,,5,0.04,,6,0.13,,3,1,4.0,4.0,24.0,27.0
202609092104,2026-09-09,21,04R,09:50,2026-09-09T10:06:23.480453+09:00,0953,抜　き,1,西野　　雄貴,"1'49""4",2,小林　　遼太,"1'49""5",5,長尾　　萌加,"1'52""8",3,田川　　大貴,"1'53""4",6,中田　　元泰,,4,宗行　　治哉,,1,0.07,,2,0.13,,3,0.13,,4,0.15,,5,0.2,,6,0.22,,2,2,5.0,5.0,24.4,26.0
202609091403,2026-09-09,14,03R,09:36,2026-09-09T10:16:21.190004+09:00,1003,まくり差し,3,赤井　　　睦,"1'13""7",4,出口　舞有子,"1'15""2",1,大山　　千広,"1'15""9",5,前田　　紗希,"1'16""6",2,加藤　　奈月,,6,柴田　　愛梨,,1,0.13,,2,0.15,,3,0.08,,4,0.08,,5,0.16,,6,0.19,,3,1,2.0,2.0,23.0,27.0
202609092105,2026-09-09,21,05R,10:18,2026-09-09T10:32:22.690554+09:00,1021,逃　げ,1,君島　　秀三,"1'49""9",6,伊藤　　喜智,"1'51""3",2,前原　　　哉,"1'52""6",3,金子　　　萌,"1'52""8",5,中村　　　楓,,4,一色　　凌雅,,1,0.13,,2,0.13,,3,0.07,,4,0.1,,5,0.05,,6,0.05,,2,2,5.0,5.0,24.6,26.0
202609091404,2026-09-09,14,04R,10:02,2026-09-09T10:44:22.971953+09:00,1029,逃　げ,1,原田　　佑実,"1'13""5",2,松尾　　夏海,"1'13""9",5,後藤　　美翼,"1'15""4",3,浜田　亜理沙,"1'15""5",6,福岡　　泉水,,4,森下　　愛梨,,1,0.22,,2,0.24,,3,0.22,,4,0.42,,5,0.27,,6,0.25,,3,1,3.0,3.0,23.0,27.0
202609091101,2026-09-09,11,01R,10:38,2026-09-09T10:54:25.169378+09:00,1041,まくり,4,坂本　　一真,"1'51""3",1,市川　　健太,"1'51""7",2,松井　　貫太,"1'53""7",6,小林　　礼央,"1'54""8",5,原田　　朱理,,3,金子　　龍斗,,1,0.18,,2,0.18,,3,0.16,,4,0.09,,5,0.24,,6,0.09,,3,,0.0,1.0,23.0,26.0
