レースコード,レース日,レース場コード,レース場,レース回,タイトル,日次,グレード,ナイター,レース名,電話投票締切予定,中止状態
202609090101,2026-09-09,01,桐生,1R,バスケで群馬を熱くする群馬クレインサンダーズカップ,５日目,IP,N,一般,15:18,
202609090102,2026-09-09,01,桐生,2R,バスケで群馬を熱くする群馬クレインサンダーズカップ,５日目,IP,N,一般,15:43,
202609090103,2026-09-09,01,桐生,3R,バスケで群馬を熱くする群馬クレインサンダーズカップ,５日目,IP,N,一般,16:09,
202609090104,2026-09-09,01,桐生,4R,バスケで群馬を熱くする群馬クレインサンダーズカップ,５日目,IP,N,一般,16:35,
202609090105,2026-09-09,01,桐生,5R,バスケで群馬を熱くする群馬クレインサンダーズカップ,５日目,IP,N,一般,17:01,
202609090106,2026-09-09,01,桐生,6R,バスケで群馬を熱くする群馬クレインサンダーズカップ,５日目,IP,N,ドラドキ目玉,17:28,
202609090107,2026-09-09,01,桐生,7R,バスケで群馬を熱くする群馬クレインサンダーズカップ,５日目,IP,N,ドラドキ３,17:55,
202609090108,2026-09-09,01,桐生,8R,バスケで群馬を熱くする群馬クレインサンダーズカップ,５日目,IP,N,ドラドキ５,18:23,
202609090109,2026-09-09,01,桐生,9R,バスケで群馬を熱くする群馬クレインサンダーズカップ,５日目,IP,N,準優勝戦,18:54,
202609090110,2026-09-09,01,桐生,10R,バスケで群馬を熱くする群馬クレインサンダーズカップ,５日目,IP,N,準優勝戦,19:25,
202609090111,2026-09-09,01,桐生,11R,バスケで群馬を熱くする群馬クレインサンダーズカップ,５日目,IP,N,準優勝戦,19:58,
202609090112,2026-09-09,01,桐生,12R,バスケで群馬を熱くする群馬クレインサンダーズカップ,５日目,IP,N,一般特賞,20:30,
202609090301,2026-09-09,03,江戸川,1R,月兎ソースカップ,５日目,IP,D,一般,11:14,
202609090302,2026-09-09,03,江戸川,2R,月兎ソースカップ,５日目,IP,D,一般,11:41,
202609090303,2026-09-09,03,江戸川,3R,月兎ソースカップ,５日目,IP,D,一般,12:08,
202609090304,2026-09-09,03,江戸川,4R,月兎ソースカップ,５日目,IP,D,一般,12:35,
202609090305,2026-09-09,03,江戸川,5R,月兎ソースカップ,５日目,IP,D,一般,13:02,
202609090306,2026-09-09,03,江戸川,6R,月兎ソースカップ,５日目,IP,D,一般,13:29,
202609090307,2026-09-09,03,江戸川,7R,月兎ソースカップ,５日目,IP,D,一般,13:56,
202609090308,2026-09-09,03,江戸川,8R,月兎ソースカップ,５日目,IP,D,一般,14:24,
202609090309,2026-09-09,03,江戸川,9R,月兎ソースカップ,５日目,IP,D,一般特賞,14:52,
202609090310,2026-09-09,03,江戸川,10R,月兎ソースカップ,５日目,IP,D,一般特賞,15:22,
202609090311,2026-09-09,03,江戸川,11R,月兎ソースカップ,５日目,IP,D,準優勝戦,15:53,
202609090312,2026-09-09,03,江戸川,12R,月兎ソースカップ,５日目,IP,D,準優勝戦,16:25,
202609090401,2026-09-09,04,平和島,1R,第２３回サントリーカップ　ほぼ女子戦,５日目,IP,D,一般,10:55,
202609090402,2026-09-09,04,平和島,2R,第２３回サントリーカップ　ほぼ女子戦,５日目,IP,D,一般,11:24,
202609090403,2026-09-09,04,平和島,3R,第２３回サントリーカップ　ほぼ女子戦,５日目,IP,D,一般,11:53,
202609090404,2026-09-09,04,平和島,4R,第２３回サントリーカップ　ほぼ女子戦,５日目,IP,D,一般,12:22,
202609090405,2026-09-09,04,平和島,5R,第２３回サントリーカップ　ほぼ女子戦,５日目,IP,D,一般,12:52,
202609090406,2026-09-09,04,平和島,6R,第２３回サントリーカップ　ほぼ女子戦,５日目,IP,D,一般,13:22,
202609090407,2026-09-09,04,平和島,7R,第２３回サントリーカップ　ほぼ女子戦,５日目,IP,D,一般,13:53,
202609090408,2026-09-09,04,平和島,8R,第２３回サントリーカップ　ほぼ女子戦,５日目,IP,D,一般,14:24,
202609090409,2026-09-09,04,平和島,9R,第２３回サントリーカップ　ほぼ女子戦,５日目,IP,D,一般特賞,14:56,
202609090410,2026-09-09,04,平和島,10R,第２３回サントリーカップ　ほぼ女子戦,５日目,IP,D,準優勝戦,15:29,
202609090411,2026-09-09,04,平和島,11R,第２３回サントリーカップ　ほぼ女子戦,５日目,IP,D,準優勝戦,16:03,
202609090412,2026-09-09,04,平和島,12R,第２３回サントリーカップ　ほぼ女子戦,５日目,IP,D,準優勝戦,16:38,
202609090501,2026-09-09,05,多摩川,1R,にっぽん未来プロジェクト競走ｉｎ多摩川,初　日,IP,D,予選,11:03,
202609090502,2026-09-09,05,多摩川,2R,にっぽん未来プロジェクト競走ｉｎ多摩川,初　日,IP,D,予選,11:32,
202609090503,2026-09-09,05,多摩川,3R,にっぽん未来プロジェクト競走ｉｎ多摩川,初　日,IP,D,予選,12:01,
202609090504,2026-09-09,05,多摩川,4R,にっぽん未来プロジェクト競走ｉｎ多摩川,初　日,IP,D,予選,12:31,
202609090505,2026-09-09,05,多摩川,5R,にっぽん未来プロジェクト競走ｉｎ多摩川,初　日,IP,D,予選,13:01,
202609090506,2026-09-09,05,多摩川,6R,にっぽん未来プロジェクト競走ｉｎ多摩川,初　日,IP,D,予選,13:31,
202609090507,2026-09-09,05,多摩川,7R,にっぽん未来プロジェクト競走ｉｎ多摩川,初　日,IP,D,予選,14:01,
202609090508,2026-09-09,05,多摩川,8R,にっぽん未来プロジェクト競走ｉｎ多摩川,初　日,IP,D,予選,14:32,
202609090509,2026-09-09,05,多摩川,9R,にっぽん未来プロジェクト競走ｉｎ多摩川,初　日,IP,D,予選特賞,15:04,
202609090510,2026-09-09,05,多摩川,10R,にっぽん未来プロジェクト競走ｉｎ多摩川,初　日,IP,D,予選特賞,15:37,
202609090511,2026-09-09,05,多摩川,11R,にっぽん未来プロジェクト競走ｉｎ多摩川,初　日,IP,D,予選特選,16:11,
202609090512,2026-09-09,05,多摩川,12R,にっぽん未来プロジェクト競走ｉｎ多摩川,初　日,IP,D,ドリーム戦,16:46,
202609091101,2026-09-09,11,びわこ,1R,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,最終日,IP,D,一般,10:38,
202609091102,2026-09-09,11,びわこ,2R,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,最終日,IP,D,一般,11:06,
202609091103,2026-09-09,11,びわこ,3R,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,最終日,IP,D,一般,11:45,
202609091104,2026-09-09,11,びわこ,4R,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,最終日,IP,D,一般,12:14,
202609091105,2026-09-09,11,びわこ,5R,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,最終日,IP,D,一般,12:44,
202609091106,2026-09-09,11,びわこ,6R,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,最終日,IP,D,一般,13:15,
202609091107,2026-09-09,11,びわこ,7R,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,最終日,IP,D,一般,13:43,
202609091108,2026-09-09,11,びわこ,8R,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,最終日,IP,D,一般,14:16,
202609091109,2026-09-09,11,びわこ,9R,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,最終日,IP,D,ビナちゃん特選,14:45,
202609091110,2026-09-09,11,びわこ,10R,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,最終日,IP,D,選抜戦,15:25,
202609091111,2026-09-09,11,びわこ,11R,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,最終日,IP,D,選抜戦,15:58,
202609091112,2026-09-09,11,びわこ,12R,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,最終日,IP,D,優勝戦,16:29,
202609091301,2026-09-09,13,尼崎,1R,第２５回報知ローズカップ争奪戦,３日目,IP,D,朝からセンプル,10:41,
202609091302,2026-09-09,13,尼崎,2R,第２５回報知ローズカップ争奪戦,３日目,IP,D,予選,11:09,
202609091303,2026-09-09,13,尼崎,3R,第２５回報知ローズカップ争奪戦,３日目,IP,D,予選,11:35,
202609091304,2026-09-09,13,尼崎,4R,第２５回報知ローズカップ争奪戦,３日目,IP,D,予選,11:59,
202609091305,2026-09-09,13,尼崎,5R,第２５回報知ローズカップ争奪戦,３日目,IP,D,予選,12:29,
202609091306,2026-09-09,13,尼崎,6R,第２５回報知ローズカップ争奪戦,３日目,IP,D,昼どきピンクル,12:56,
202609091307,2026-09-09,13,尼崎,7R,第２５回報知ローズカップ争奪戦,３日目,IP,D,予選,13:27,
202609091308,2026-09-09,13,尼崎,8R,第２５回報知ローズカップ争奪戦,３日目,IP,D,予選,14:06,
202609091309,2026-09-09,13,尼崎,9R,第２５回報知ローズカップ争奪戦,３日目,IP,D,予選特賞,14:37,
202609091310,2026-09-09,13,尼崎,10R,第２５回報知ローズカップ争奪戦,３日目,IP,D,予選特賞,15:09,
202609091311,2026-09-09,13,尼崎,11R,第２５回報知ローズカップ争奪戦,３日目,IP,D,予選特選,15:41,
202609091312,2026-09-09,13,尼崎,12R,第２５回報知ローズカップ争奪戦,３日目,IP,D,予選特選,16:23,
202609091401,2026-09-09,14,鳴門,1R,ヴィーナスシリーズ第１２戦　マクール杯競走,４日目,IP,M,とるならなると,08:44,
202609091402,2026-09-09,14,鳴門,2R,ヴィーナスシリーズ第１２戦　マクール杯競走,４日目,IP,M,どーなるなると,09:10,
202609091403,2026-09-09,14,鳴門,3R,ヴィーナスシリーズ第１２戦　マクール杯競走,４日目,IP,M,どきどきなると,09:36,
202609091404,2026-09-09,14,鳴門,4R,ヴィーナスシリーズ第１２戦　マクール杯競走,４日目,IP,M,とにかくなると,10:02,
