場コード,基準節終了日,モーター番号,使用開始日,使用終了日,グレード,タイトル,使用者名,着順列
16,2026-09-03,11,2026-08-18,2026-08-23,一般,ヴィーナスシリーズ第１０戦　第１６回クラリスカップ,中西 月輝,４６３　６６６　６６３
16,2026-09-03,11,2026-08-08,2026-08-13,一般,第４４回天領杯,峰重 侑治,２６転　６　４４４　４２
16,2026-09-03,11,2026-07-28,2026-08-02,一般,山陽新聞社杯,片橋 幸貴,５２１２１　２２５１[３]
16,2026-09-03,12,2026-08-29,2026-09-03,一般,ＢＴＳ松江開設２６周年記念競走,大塚 康雅,２６６　２４１　３４４３
16,2026-09-03,12,2026-08-08,2026-08-13,一般,第４４回天領杯,天野 誠,１５沈　３　６６６　６５
16,2026-09-03,12,2026-07-28,2026-08-02,一般,山陽新聞社杯,清埜 翔子,６２３５３　３６２　５５
16,2026-09-03,13,2026-08-29,2026-09-03,一般,ＢＴＳ松江開設２６周年記念競走,高田 明,４　１５１２エ３１４６３
16,2026-09-03,13,2026-08-18,2026-08-23,一般,ヴィーナスシリーズ第１０戦　第１６回クラリスカップ,米丸 乃絵,２１２　２１３２１２[５]
16,2026-09-03,13,2026-08-08,2026-08-13,一般,第４４回天領杯,福島 陽子,１　５５３　６６５　５３
16,2026-09-03,14,2026-08-29,2026-09-03,一般,ＢＴＳ松江開設２６周年記念競走,是澤 孝宏,２４２１５　４１４４１５
16,2026-09-03,14,2026-08-18,2026-08-23,一般,ヴィーナスシリーズ第１０戦　第１６回クラリスカップ,村上 奈穂,５５５　１５４　６５３
16,2026-09-03,14,2026-07-28,2026-08-02,一般,山陽新聞社杯,古賀 繁輝,１　３２１１５４１３１１
16,2026-09-03,15,2026-08-29,2026-09-03,一般,ＢＴＳ松江開設２６周年記念競走,牧原 崇,３　５１５　４６３５３１
16,2026-09-03,15,2026-08-18,2026-08-23,一般,ヴィーナスシリーズ第１０戦　第１６回クラリスカップ,星田 夢結,４　６６６　６６６　６５
16,2026-09-03,15,2026-07-28,2026-08-02,一般,山陽新聞社杯,大平 誉史明,２２６　３５１２３５３２
16,2026-09-03,16,2026-08-29,2026-09-03,一般,ＢＴＳ松江開設２６周年記念競走,谷口 健一,５１３　４５６　４４２５
16,2026-09-03,16,2026-08-18,2026-08-23,一般,ヴィーナスシリーズ第１０戦　第１６回クラリスカップ,藤本 紗弥香,１３４　２４４　４４３２
16,2026-09-03,16,2026-08-08,2026-08-13,一般,第４４回天領杯,浮田 圭浩,４　１４３５３　５５４
