記録日,場コード,モーター番号,節,節最終日,走行日,日次,走,級別,グレード分類,進入,着順,生得点,セルμ,セルσ,残差z,減衰重み
2026-09-09,01,11,0,2026-09-08,2026-09-05,1,1,B1,全,2,4,40,47.2931,32.6558,-0.223331,0.954842
2026-09-09,01,11,0,2026-09-08,2026-09-06,2,1,B1,全,1,4,40,69.0702,33.6079,-0.86498,0.965936
2026-09-09,01,11,0,2026-09-08,2026-09-06,2,2,B1,全,5,6,0,35.6085,30.3795,-1.172123,0.965936
2026-09-09,01,11,0,2026-09-08,2026-09-07,3,1,B1,全,3,5,20,44.9883,33.0758,-0.755485,0.97716
2026-09-09,01,11,1,2026-08-30,2026-08-25,1,2,A1,SG_G1,6,4,40,29.021,28.1558,0.389938,0.840896
2026-09-09,01,11,1,2026-08-30,2026-08-26,2,1,A1,SG_G1,5,1,100,41.4337,29.7316,1.969836,0.850667
2026-09-09,01,11,1,2026-08-30,2026-08-26,2,2,A1,SG_G1,2,5,20,50.9158,35.6145,-0.868067,0.850667
2026-09-09,01,11,1,2026-08-30,2026-08-27,3,1,A1,SG_G1,3,2,80,50.1805,33.9298,0.878859,0.860551
2026-09-09,01,11,1,2026-08-30,2026-08-28,4,2,A1,SG_G1,1,1,100,85.8865,25.8356,0.546281,0.870551
2026-09-09,01,11,1,2026-08-30,2026-08-29,5,2,A1,SG_G1,3,4,40,50.1805,33.9298,-0.300046,0.880666
2026-09-09,01,11,2,2026-08-16,2026-08-11,1,2,B2,全,6,5,25,13.1452,26.9422,0.440008,0.715323
2026-09-09,01,11,2,2026-08-16,2026-08-12,2,2,B2,全,3,5,25,44.83,41.9915,-0.472239,0.723635
2026-09-09,01,11,2,2026-08-16,2026-08-13,3,1,B2,全,6,6,0,13.1452,26.9422,-0.487903,0.732043
2026-09-09,01,11,2,2026-08-16,2026-08-13,3,2,B2,全,4,5,25,33.0882,36.9564,-0.218859,0.732043
2026-09-09,01,11,2,2026-08-16,2026-08-14,4,1,B2,全,1,6,0,79.1667,47.019,-1.683715,0.740549
2026-09-09,01,11,2,2026-08-16,2026-08-15,5,1,B2,全,3,2,100,44.83,41.9915,1.313837,0.749154
2026-09-09,01,11,2,2026-08-16,2026-08-15,5,2,B2,全,5,2,100,29.2735,36.4695,1.93933,0.749154
2026-09-09,01,11,3,2026-08-05,2026-07-31,1,1,A2,G2_G3_一般,5,3,45,34.524,22.6356,0.462809,0.629961
