記録日,場コード,モーター番号,節,節最終日,走行日,日次,走,級別,グレード分類,進入,着順,生得点,セルμ,セルσ,残差z,減衰重み
2026-09-13,02,1,0,2026-09-12,2026-09-11,1,1,B2,全,5,5,25,29.7619,36.9325,-0.128935,0.97716
2026-09-13,02,1,1,2026-08-23,2026-08-20,1,1,A2,G2_G3_一般,3,1,75,44.1195,24.3322,1.269123,0.757858
2026-09-13,02,1,1,2026-08-23,2026-08-20,1,2,A2,G2_G3_一般,2,1,75,45.275,24.0379,1.236588,0.757858
2026-09-13,02,1,1,2026-08-23,2026-08-21,2,1,A2,G2_G3_一般,1,4,30,61.7502,20.8429,-1.52331,0.766664
2026-09-13,02,1,1,2026-08-23,2026-08-22,3,1,A2,G2_G3_一般,6,3,45,26.7671,21.3393,0.85443,0.775572
2026-09-13,02,1,1,2026-08-23,2026-08-22,3,2,A2,G2_G3_一般,5,3,45,34.7878,22.6991,0.449894,0.775572
2026-09-13,02,1,1,2026-08-23,2026-08-23,4,2,A2,G2_G3_一般,1,1,75,61.7502,20.8429,0.635698,0.784584
2026-09-13,02,1,2,2026-08-17,2026-08-12,1,1,B1,全,6,4,40,25.4632,26.062,0.557777,0.690956
2026-09-13,02,1,2,2026-08-17,2026-08-13,2,1,B1,全,5,6,0,35.5453,30.2831,-1.173765,0.698985
2026-09-13,02,1,2,2026-08-17,2026-08-13,2,2,B1,全,1,4,40,68.7864,33.6691,-0.85498,0.698985
2026-09-13,02,1,2,2026-08-17,2026-08-14,3,2,B1,全,6,5,20,25.4632,26.062,-0.209624,0.707107
2026-09-13,02,1,2,2026-08-17,2026-08-15,4,1,B1,全,3,6,0,44.907,33.137,-1.355191,0.715323
2026-09-13,02,1,2,2026-08-17,2026-08-15,4,2,B1,全,2,3,60,47.358,32.4778,0.38925,0.715323
2026-09-13,02,1,2,2026-08-17,2026-08-16,5,1,B1,全,6,5,20,25.4632,26.062,-0.209624,0.723635
2026-09-13,02,1,2,2026-08-17,2026-08-16,5,2,B1,全,5,4,40,35.5453,30.2831,0.147102,0.723635
2026-09-13,02,1,3,2026-08-09,2026-08-06,1,1,B1,全,6,6,0,25.4632,26.062,-0.977026,0.644685
2026-09-13,02,1,3,2026-08-09,2026-08-07,2,1,B1,全,1,5,20,68.7864,33.6691,-1.448997,0.652176
2026-09-13,02,1,3,2026-08-09,2026-08-07,2,2,B1,全,3,1,100,44.907,33.137,1.662584,0.652176
2026-09-13,02,1,3,2026-08-09,2026-08-08,3,1,B1,全,2,3,60,47.358,32.4778,0.38925,0.659754
2026-09-13,02,1,3,2026-08-09,2026-08-08,3,2,B1,全,6,6,0,25.4632,26.062,-0.977026,0.659754
2026-09-13,02,2,0,2026-09-12,2026-09-11,1,2,B1,全,2,2,80,47.358,32.4778,1.005055,0.97716
2026-09-13,02,2,1,2026-08-23,2026-08-20,1,2,A2,G2_G3_一般,6,3,45,26.7671,21.3393,0.85443,0.757858
2026-09-13,02,2,1,2026-08-23,2026-08-21,2,1,A2,G2_G3_一般,3,2,60,44.1195,24.3322,0.652656,0.766664
