レースコード,レース日,レース場コード,レース回,状態,荒れ度,P_その他_1,P_その他_2,P_その他_3,P_その他_4,P_その他_5,P_その他_6,P_まくり_2,P_まくり_3,P_まくり_4,P_まくり_5,P_まくり_6,P_まくり差し_3,P_まくり差し_4,P_まくり差し_5,P_まくり差し_6,P_差し_2,P_差し_3,P_差し_4,P_差し_5,P_差し_6,P_抜き_1,P_抜き_2,P_抜き_3,P_抜き_4,P_抜き_5,P_抜き_6,P_恵まれ_2,P_恵まれ_3,P_恵まれ_4,P_恵まれ_5,P_逃げ_1,P_逃げ_2
202609090101,2026-09-09,01,01R,daily,0.5294,0.004180,0.001624,0.000526,0.000201,0.000193,0.000612,0.025063,0.041971,0.132793,0.012002,0.001956,0.055930,0.055125,0.027418,0.003385,0.041935,0.014036,0.033092,0.003012,0.001882,0.024547,0.006184,0.011430,0.015430,0.005276,0.001340,0.001425,0.001348,0.001536,0.001105,0.470587,0.002856
202609090102,2026-09-09,01,02R,daily,0.8153,0.005364,0.002765,0.001143,0.000340,0.000305,0.001270,0.081757,0.100663,0.146468,0.014136,0.004790,0.076910,0.063442,0.024991,0.011879,0.063475,0.047854,0.060763,0.005681,0.003712,0.010358,0.009356,0.027892,0.024537,0.005995,0.004033,0.001620,0.002163,0.001636,0.003054,0.184735,0.006916
202609090103,2026-09-09,01,03R,daily,0.7876,0.005650,0.003041,0.001090,0.000409,0.000359,0.002080,0.023811,0.065832,0.145465,0.030261,0.020340,0.065564,0.077648,0.083225,0.049919,0.026546,0.022173,0.037923,0.009214,0.017888,0.010348,0.004114,0.020026,0.019320,0.014765,0.017755,0.001108,0.001616,0.001092,0.002944,0.212443,0.006030
202609090104,2026-09-09,01,04R,daily,0.5381,0.003976,0.002417,0.000704,0.000290,0.000236,0.001762,0.015996,0.073969,0.075635,0.016651,0.008925,0.081405,0.051345,0.028120,0.019001,0.033628,0.020165,0.025541,0.002598,0.005282,0.018857,0.005193,0.012773,0.010877,0.005237,0.004938,0.001213,0.002494,0.001733,0.002399,0.461915,0.004726
202609090105,2026-09-09,01,05R,daily,0.4874,0.003902,0.002317,0.000575,0.000266,0.000222,0.001529,0.010917,0.035358,0.072668,0.020212,0.010504,0.053277,0.042651,0.053796,0.049601,0.026825,0.009105,0.010693,0.005204,0.010356,0.023317,0.003073,0.007359,0.007255,0.008048,0.008154,0.001048,0.002222,0.002103,0.001765,0.512569,0.003112
202609090106,2026-09-09,01,06R,daily,0.3987,0.003625,0.001595,0.000423,0.000193,0.000185,0.000720,0.011211,0.042304,0.069112,0.024718,0.004083,0.050935,0.027490,0.041756,0.009056,0.020578,0.007122,0.012813,0.003968,0.003002,0.027544,0.002338,0.010131,0.008255,0.006339,0.002225,0.000874,0.000929,0.001500,0.001276,0.601335,0.002363
202609090107,2026-09-09,01,07R,daily,0.4245,0.004396,0.001575,0.000695,0.000186,0.000169,0.000840,0.033068,0.061153,0.027510,0.012353,0.006634,0.078679,0.016908,0.025186,0.013134,0.045581,0.020252,0.006456,0.002652,0.003403,0.029182,0.005660,0.010154,0.003421,0.003191,0.002424,0.001328,0.001981,0.000950,0.000995,0.575488,0.004397
202609090108,2026-09-09,01,08R,daily,0.3735,0.004071,0.001675,0.000522,0.000176,0.000207,0.000578,0.015582,0.030457,0.028716,0.034701,0.004784,0.023702,0.010582,0.071337,0.014222,0.050212,0.005975,0.004880,0.005312,0.002832,0.025729,0.007931,0.006592,0.003406,0.007033,0.001685,0.001217,0.000977,0.001192,0.001188,0.626538,0.005991
202609090109,2026-09-09,01,09R,daily,0.3162,0.002573,0.000826,0.000452,0.000127,0.000120,0.000571,0.020950,0.028816,0.023618,0.006379,0.001701,0.041597,0.012562,0.016106,0.002975,0.085078,0.012384,0.006909,0.001185,0.000841,0.023303,0.006492,0.003831,0.002687,0.001800,0.000622,0.001250,0.001692,0.000924,0.000807,0.683798,0.007024
202609090110,2026-09-09,01,10R,daily,0.3216,0.002350,0.000819,0.000395,0.000172,0.000146,0.000803,0.009270,0.024444,0.063924,0.016210,0.006560,0.031860,0.025654,0.037823,0.008624,0.024736,0.008605,0.008337,0.003361,0.001941,0.022081,0.002718,0.004925,0.003848,0.002704,0.001529,0.001340,0.001189,0.000925,0.001161,0.678415,0.003130
202609090111,2026-09-09,01,11R,daily,0.4679,0.004371,0.001090,0.000564,0.000220,0.000249,0.001413,0.015932,0.039681,0.103404,0.019804,0.002459,0.035957,0.041315,0.056166,0.007948,0.038219,0.013051,0.017022,0.005800,0.001998,0.018185,0.006733,0.009540,0.006533,0.008446,0.001256,0.001482,0.001230,0.001168,0.001742,0.532079,0.004942
202609090112,2026-09-09,01,12R,daily,0.4865,0.003079,0.002319,0.000597,0.000261,0.000205,0.001026,0.015009,0.038696,0.125364,0.011541,0.010129,0.034162,0.058256,0.024400,0.028532,0.026801,0.009875,0.019301,0.004094,0.007904,0.024626,0.004078,0.006808,0.010588,0.004351,0.005108,0.001354,0.001590,0.001524,0.001697,0.513518,0.003205
202609090301,2026-09-09,03,01R,daily,0.4735,0.002258,0.001162,0.000518,0.000228,0.000210,0.000485,0.030804,0.048943,0.040087,0.025949,0.004546,0.036218,0.011853,0.027509,0.018077,0.091307,0.010668,0.013961,0.004184,0.007178,0.036876,0.019994,0.009955,0.007003,0.008595,0.004892,0.001153,0.003473,0.001853,0.001332,0.526470,0.002261
202609090302,2026-09-09,03,02R,daily,0.5101,0.001162,0.000453,0.000287,0.000160,0.000106,0.000342,0.080851,0.022360,0.041157,0.008587,0.002143,0.010987,0.008073,0.007755,0.002599,0.222203,0.004568,0.008282,0.001724,0.000918,0.029293,0.032297,0.005781,0.006503,0.001970,0.000936,0.001258,0.002031,0.001156,0.000835,0.489876,0.003346
202609090303,2026-09-09,03,03R,daily,0.5760,0.002994,0.001192,0.000613,0.000233,0.000282,0.000731,0.028485,0.056502,0.042948,0.060996,0.004537,0.044551,0.014016,0.066563,0.017361,0.066133,0.011433,0.014219,0.016038,0.012318,0.039145,0.011379,0.019434,0.009152,0.017802,0.007198,0.001785,0.002026,0.002027,0.002285,0.423966,0.001658
202609090304,2026-09-09,03,04R,daily,0.5582,0.001839,0.001138,0.000438,0.000280,0.000215,0.000830,0.025904,0.048924,0.092620,0.029552,0.026036,0.041172,0.032392,0.041930,0.032435,0.038620,0.011937,0.021909,0.009506,0.015573,0.025821,0.006701,0.014795,0.009683,0.009758,0.010388,0.001249,0.001583,0.001341,0.001736,0.441814,0.001881
