レースコード,レース日,レース場コード,レース回,状態,買い目1,買い目2,買い目3,買い目4,買い目5,決まり手1,決まり手2,決まり手3,決まり手4,決まり手5
202609090101,2026-09-09,01,1R,daily,3-1-2,4-1-2,2-1-3,3-1-4,4-1-3,まくり差し,まくり,差し,まくり差し,差し
202609090102,2026-09-09,01,2R,daily,3-1-2,4-1-2,3-1-4,4-1-5,3-1-5,まくり差し,まくり,まくり差し,まくり差し,まくり差し
202609090103,2026-09-09,01,3R,daily,4-1-3,4-1-2,4-1-5,3-1-4,4-1-6,差し,まくり,まくり差し,まくり差し,まくり
202609090104,2026-09-09,01,4R,daily,3-1-4,4-1-3,3-1-2,4-1-2,3-1-5,まくり差し,差し,まくり差し,まくり,まくり差し
202609090105,2026-09-09,01,5R,daily,3-1-2,3-1-4,2-1-3,3-1-5,4-1-2,まくり差し,まくり差し,差し,まくり差し,まくり
202609090106,2026-09-09,01,6R,daily,3-1-5,3-1-2,3-1-4,4-1-5,5-1-3,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し
202609090107,2026-09-09,01,7R,daily,3-1-2,3-1-4,3-1-5,2-1-3,3-1-6,まくり差し,まくり差し,まくり差し,差し,まくり差し
202609090108,2026-09-09,01,8R,daily,2-1-3,5-1-2,3-1-2,5-1-3,2-1-4,差し,まくり差し,まくり差し,まくり差し,差し
202609090109,2026-09-09,01,9R,daily,2-1-3,3-1-2,2-1-4,2-3-1,3-1-4,差し,まくり差し,差し,差し,まくり差し
202609090110,2026-09-09,01,10R,daily,3-1-2,3-1-4,3-1-5,2-1-3,4-1-3,まくり差し,まくり差し,まくり差し,差し,差し
202609090111,2026-09-09,01,11R,daily,4-1-5,4-1-2,3-1-4,3-1-2,2-1-3,まくり差し,まくり,まくり差し,まくり差し,差し
202609090112,2026-09-09,01,12R,daily,2-1-3,4-1-2,3-1-2,4-1-5,2-1-5,差し,まくり,まくり差し,まくり差し,差し
202609090301,2026-09-09,03,1R,daily,2-1-3,2-1-4,3-1-2,2-1-5,3-1-4,差し,差し,まくり差し,差し,まくり差し
202609090302,2026-09-09,03,2R,daily,2-1-3,2-1-4,2-1-5,2-3-1,2-1-6,差し,差し,差し,差し,差し
202609090303,2026-09-09,03,3R,daily,2-1-3,5-1-2,3-1-2,2-1-5,3-1-5,差し,まくり差し,まくり差し,差し,まくり差し
202609090304,2026-09-09,03,4R,daily,3-1-4,3-1-2,4-1-5,4-1-2,3-1-5,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202609090305,2026-09-09,03,5R,daily,2-1-4,2-1-3,4-1-2,2-1-5,3-1-2,差し,差し,まくり,差し,まくり差し
202609090306,2026-09-09,03,6R,daily,2-1-3,2-1-4,2-1-6,2-1-5,4-1-2,差し,差し,差し,差し,まくり
202609090307,2026-09-09,03,7R,daily,5-1-2,5-1-3,5-2-1,5-1-4,2-1-3,まくり差し,まくり差し,まくり差し,まくり差し,差し
202609090308,2026-09-09,03,8R,daily,2-1-3,3-1-2,2-1-4,2-3-1,3-1-4,差し,まくり差し,差し,差し,まくり差し
202609090309,2026-09-09,03,9R,daily,2-1-3,3-1-2,4-1-2,2-1-4,4-1-5,差し,まくり差し,まくり,差し,まくり差し
202609090310,2026-09-09,03,10R,daily,3-1-2,2-1-3,3-1-4,2-1-4,3-1-5,まくり差し,差し,まくり差し,差し,まくり差し
202609090311,2026-09-09,03,11R,daily,2-1-3,2-1-4,2-1-5,3-1-2,2-1-6,差し,差し,差し,まくり差し,差し
202609090312,2026-09-09,03,12R,daily,2-1-3,2-1-4,2-1-5,2-3-1,2-1-6,差し,差し,差し,差し,差し
202609090401,2026-09-09,04,1R,daily,3-1-2,3-1-4,3-1-5,2-1-3,3-2-1,まくり差し,まくり差し,まくり差し,差し,まくり
202609090401,2026-09-09,04,1R,realtime,3-1-2,3-1-4,3-1-5,2-1-3,3-1-6,まくり差し,まくり差し,まくり差し,差し,まくり差し
202609090402,2026-09-09,04,2R,daily,5-1-2,5-2-1,5-1-4,5-1-3,5-1-6,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し
202609090402,2026-09-09,04,2R,realtime,5-1-4,5-1-2,5-1-3,5-4-1,5-2-1,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し
