レースコード,レース日,レース場コード,レース回,1枠_登録番号,1枠_推定ST,1枠_推定ST_p25,1枠_推定ST_p75,2枠_登録番号,2枠_推定ST,2枠_推定ST_p25,2枠_推定ST_p75,3枠_登録番号,3枠_推定ST,3枠_推定ST_p25,3枠_推定ST_p75,4枠_登録番号,4枠_推定ST,4枠_推定ST_p25,4枠_推定ST_p75,5枠_登録番号,5枠_推定ST,5枠_推定ST_p25,5枠_推定ST_p75,6枠_登録番号,6枠_推定ST,6枠_推定ST_p25,6枠_推定ST_p75
202609090101,2026-09-09,01,01R,3475,0.1695,0.1235,0.2156,3305,0.1602,0.1184,0.2019,4380,0.1524,0.1037,0.2011,3319,0.1574,0.1233,0.1915,5107,0.1943,0.1535,0.2351,5430,0.1832,0.1331,0.2333
202609090102,2026-09-09,01,02R,4181,0.1808,0.1368,0.2249,3681,0.1609,0.1209,0.2008,4040,0.1328,0.0937,0.1719,4025,0.165,0.1235,0.2065,5048,0.1766,0.1347,0.2185,4557,0.1978,0.1546,0.2411
202609090103,2026-09-09,01,03R,3277,0.153,0.1126,0.1933,5122,0.2025,0.1582,0.2468,4232,0.1595,0.1177,0.2012,3874,0.1414,0.1023,0.1805,4538,0.1692,0.1253,0.2131,4019,0.171,0.1315,0.2104
202609090104,2026-09-09,01,04R,4531,0.1376,0.0993,0.1759,4440,0.1737,0.1249,0.2226,4118,0.1401,0.1043,0.1759,4044,0.1262,0.0887,0.1637,4195,0.1419,0.1067,0.1771,4342,0.1587,0.1162,0.2013
202609090105,2026-09-09,01,05R,3743,0.1394,0.1001,0.1786,5070,0.1858,0.143,0.2286,4027,0.1619,0.1231,0.2007,4513,0.16,0.1181,0.202,5012,0.1437,0.1069,0.1804,3946,0.169,0.1353,0.2027
202609090106,2026-09-09,01,06R,4028,0.1431,0.1049,0.1812,3867,0.1829,0.1312,0.2346,3202,0.1888,0.1435,0.2341,4562,0.1749,0.1329,0.2169,4943,0.1411,0.0972,0.185,3653,0.2438,0.1967,0.291
202609090107,2026-09-09,01,07R,5228,0.1579,0.1154,0.2005,4992,0.1465,0.1136,0.1795,3686,0.1733,0.1381,0.2085,5107,0.1914,0.1506,0.2322,5122,0.2024,0.1581,0.2467,5181,0.1887,0.1502,0.2273
202609090108,2026-09-09,01,08R,4033,0.1322,0.096,0.1684,4195,0.142,0.1068,0.1772,3852,0.1764,0.1347,0.2182,4919,0.1611,0.1242,0.1981,3319,0.1603,0.1262,0.1944,5344,0.154,0.1137,0.1943
202609090109,2026-09-09,01,09R,4019,0.1501,0.1106,0.1895,3874,0.1444,0.1053,0.1835,4044,0.1232,0.0857,0.1607,4027,0.1649,0.1261,0.2037,3681,0.1608,0.1208,0.2007,4181,0.2017,0.1577,0.2458
202609090110,2026-09-09,01,10R,3946,0.1481,0.1144,0.1818,4232,0.1655,0.1237,0.2072,4028,0.1446,0.1064,0.1827,4040,0.1358,0.0967,0.1749,3743,0.1468,0.1075,0.186,4531,0.1585,0.1202,0.1968
202609090111,2026-09-09,01,11R,4342,0.1378,0.0953,0.1804,5228,0.1654,0.1229,0.208,4513,0.157,0.1151,0.199,4118,0.1431,0.1073,0.1789,4025,0.1679,0.1264,0.2094,3277,0.1739,0.1335,0.2142
202609090112,2026-09-09,01,12R,4538,0.1618,0.1179,0.2057,5048,0.1767,0.1348,0.2186,4440,0.1677,0.1189,0.2166,4033,0.1367,0.1005,0.1729,5070,0.1857,0.1429,0.2285,3686,0.1927,0.1575,0.2279
202609090301,2026-09-09,03,01R,5279,0.134,0.087,0.181,4004,0.1699,0.1302,0.2096,4407,0.1524,0.1121,0.1926,5053,0.1846,0.1428,0.2263,3857,0.183,0.1412,0.2247,4583,0.1746,0.1355,0.2136
202609090302,2026-09-09,03,02R,4142,0.163,0.1258,0.2002,4427,0.1333,0.0988,0.1678,5138,0.1665,0.1279,0.2052,5120,0.1646,0.123,0.2062,3303,0.1917,0.1428,0.2407,5427,0.2123,0.1703,0.2543
202609090303,2026-09-09,03,03R,4888,0.1589,0.1178,0.1999,5071,0.1441,0.1026,0.1856,4623,0.1489,0.1078,0.1901,3859,0.1395,0.0976,0.1814,4471,0.1458,0.0997,0.1919,3685,0.2148,0.1608,0.2687
202609090304,2026-09-09,03,04R,3944,0.1757,0.1279,0.2234,4896,0.1942,0.1422,0.2463,4173,0.1578,0.1159,0.1998,4257,0.1315,0.0925,0.1705,4189,0.1908,0.139,0.2426,3256,0.1517,0.1123,0.191
202609090305,2026-09-09,03,05R,3664,0.1609,0.1221,0.1998,4452,0.1636,0.1233,0.2039,4258,0.1845,0.135,0.2341,4438,0.1107,0.0723,0.149,4179,0.1516,0.1164,0.1868,3839,0.2132,0.1632,0.2632
202609090306,2026-09-09,03,06R,3850,0.1264,0.0915,0.1612,4640,0.1598,0.1179,0.2017,4981,0.1743,0.1333,0.2152,4598,0.1389,0.0956,0.1823,4583,0.1611,0.122,0.2001,4418,0.1268,0.0936,0.16
202609090307,2026-09-09,03,07R,5138,0.165,0.1264,0.2037,4880,0.1536,0.1187,0.1885,4661,0.162,0.1167,0.2072,4004,0.1669,0.1272,0.2066,4604,0.1362,0.1012,0.1711,3931,0.1642,0.1218,0.2067
202609090308,2026-09-09,03,08R,5098,0.1375,0.097,0.178,4257,0.1345,0.0955,0.1735,4000,0.156,0.1169,0.1951,3655,0.2008,0.1624,0.2392,3685,0.2013,0.1473,0.2552,5378,0.2216,0.1695,0.2737
202609090309,2026-09-09,03,09R,4623,0.1474,0.1063,0.1886,5120,0.1676,0.126,0.2092,4179,0.1457,0.1105,0.1809,5087,0.1667,0.1267,0.2066,4407,0.1583,0.118,0.1985,4173,0.1772,0.1353,0.2192
202609090310,2026-09-09,03,10R,4189,0.1834,0.1316,0.2352,3857,0.1831,0.1413,0.2248,3956,0.1559,0.1202,0.1917,5071,0.1411,0.0996,0.1826,4258,0.1904,0.1409,0.24,5315,0.1895,0.138,0.241
202609090311,2026-09-09,03,11R,4418,0.1059,0.0727,0.1391,4471,0.1459,0.0998,0.192,4438,0.1077,0.0693,0.146,4661,0.165,0.1197,0.2102,4427,0.1332,0.0987,0.1677,3944,0.1966,0.1488,0.2443
202609090312,2026-09-09,03,12R,3256,0.1308,0.0914,0.1701,4604,0.1363,0.1013,0.1712,4598,0.1359,0.0926,0.1793,4000,0.159,0.1199,0.1981,4452,0.1635,0.1232,0.2038,4888,0.1798,0.1387,0.2208
202609090401,2026-09-09,04,01R,5361,0.2007,0.1496,0.2518,3551,0.1704,0.1229,0.2178,4175,0.1184,0.0812,0.1556,4882,0.1909,0.1441,0.2377,5165,0.1737,0.1147,0.2326,3993,0.1677,0.1224,0.2129
202609090402,2026-09-09,04,02R,5320,0.1485,0.1064,0.1907,4275,0.2044,0.1603,0.2486,4781,0.1902,0.1388,0.2416,4283,0.1694,0.1212,0.2177,4387,0.1407,0.1036,0.1779,4414,0.183,0.1366,0.2293
202609090403,2026-09-09,04,03R,3845,0.186,0.1438,0.2283,5003,0.1653,0.0953,0.2352,4525,0.1391,0.1015,0.1766,4895,0.1517,0.1073,0.196,4090,0.1477,0.1159,0.1796,4854,0.2248,0.1842,0.2654
202609090404,2026-09-09,04,04R,5314,0.1628,0.1152,0.2105,4927,0.1471,0.113,0.1811,4501,0.1444,0.0875,0.2013,5213,0.1832,0.1477,0.2186,4690,0.1849,0.1327,0.2372,5357,0.1774,0.1204,0.2343
202609090405,2026-09-09,04,05R,4536,0.1545,0.112,0.1971,5253,0.2492,0.2023,0.2962,5370,0.1777,0.128,0.2274,4998,0.114,0.0773,0.1508,4478,0.1481,0.1086,0.1877,4874,0.1895,0.1426,0.2363
202609090406,2026-09-09,04,06R,4893,0.1249,0.0817,0.168,5164,0.2018,0.1559,0.2477,4844,0.1629,0.1198,0.2059,4791,0.1746,0.1323,0.2168,4847,0.1299,0.092,0.1678,5454,0.2177,0.1725,0.2629
202609090407,2026-09-09,04,07R,4882,0.1864,0.1396,0.2332,4941,0.2034,0.1647,0.242,4730,0.1387,0.0991,0.1782,5320,0.153,0.1109,0.1952,4266,0.1444,0.0913,0.1976,4283,0.1858,0.1376,0.2341
202609090408,2026-09-09,04,08R,4525,0.1376,0.1,0.1751,5310,0.209,0.1409,0.2771,3993,0.1483,0.103,0.1935,4240,0.1302,0.093,0.1673,5264,0.1779,0.1337,0.2222,5201,0.1992,0.1592,0.2393
202609090409,2026-09-09,04,09R,5213,0.1787,0.1432,0.2141,4186,0.1445,0.1005,0.1885,4065,0.1621,0.1218,0.2025,5361,0.2052,0.1541,0.2563,4289,0.1536,0.1131,0.1942,4781,0.2096,0.1582,0.261
202609090410,2026-09-09,04,10R,4387,0.1333,0.0962,0.1705,4090,0.1478,0.116,0.1797,4998,0.111,0.0743,0.1478,4175,0.1214,0.0842,0.1586,4927,0.147,0.1129,0.181,3845,0.2069,0.1647,0.2492
202609090411,2026-09-09,04,11R,4847,0.1225,0.0846,0.1604,4478,0.1482,0.1087,0.1878,4791,0.1716,0.1293,0.2138,4501,0.1474,0.0905,0.2043,5003,0.1652,0.0952,0.2351,4536,0.1754,0.1329,0.218
202609090412,2026-09-09,04,12R,4266,0.137,0.0839,0.1902,4690,0.185,0.1328,0.2373,4895,0.1487,0.1043,0.193,4730,0.1417,0.1021,0.1812,5253,0.2491,0.2022,0.2961,4893,0.1458,0.1026,0.1889
202609090501,2026-09-09,05,01R,2538,0.2033,0.1532,0.2535,5103,0.1823,0.1281,0.2364,3990,0.1475,0.1062,0.1887,4656,0.1463,0.1096,0.183,4420,0.1508,0.1134,0.1881,3934,0.1758,0.1336,0.2181
202609090502,2026-09-09,05,02R,4619,0.1475,0.0928,0.2021,3772,0.1406,0.1042,0.177,4227,0.1645,0.119,0.21,4565,0.1649,0.1249,0.205,3582,0.1507,0.113,0.1884,3740,0.175,0.1342,0.2157
202609090503,2026-09-09,05,03R,5262,0.1934,0.14,0.2469,3463,0.1728,0.1343,0.2113,4430,0.1478,0.1104,0.1851,4281,0.1517,0.1113,0.1921,4376,0.1491,0.1189,0.1794,3997,0.1608,0.1228,0.1988
202609090504,2026-09-09,05,04R,3848,0.1288,0.0902,0.1674,3641,0.171,0.1342,0.2079,4645,0.1271,0.0889,0.1653,3507,0.1941,0.1456,0.2426,4140,0.1683,0.1303,0.2063,3489,0.1576,0.12,0.1952
202609090505,2026-09-09,05,05R,4031,0.1521,0.1079,0.1964,3792,0.1637,0.1288,0.1986,3713,0.17,0.1352,0.2049,3977,0.1512,0.1105,0.1919,4587,0.1893,0.1364,0.2423,4055,0.1635,0.1237,0.2034
202609090506,2026-09-09,05,06R,4470,0.1259,0.0884,0.1635,3813,0.1611,0.12,0.2023,3635,0.1606,0.1216,0.1996,5433,0.2197,0.1733,0.2661,3965,0.1576,0.1062,0.2091,3990,0.1669,0.1256,0.2081
202609090507,2026-09-09,05,07R,4656,0.1418,0.1051,0.1785,4491,0.1835,0.1409,0.2262,4465,0.1884,0.1337,0.243,5262,0.1979,0.1445,0.2514,5042,0.1629,0.1277,0.1982,3582,0.1642,0.1265,0.2019
202609090508,2026-09-09,05,08R,4430,0.1463,0.1089,0.1836,3647,0.1572,0.1139,0.2005,4146,0.146,0.0985,0.1935,3934,0.1594,0.1172,0.2017,3947,0.1715,0.1343,0.2086,5449,0.206,0.1519,0.2601
202609090509,2026-09-09,05,09R,4140,0.1609,0.1229,0.1989,4210,0.152,0.1133,0.1907,4055,0.1441,0.1043,0.184,3519,0.206,0.1368,0.2753,4227,0.1704,0.1249,0.2159,4281,0.1681,0.1277,0.2085
202609090510,2026-09-09,05,10R,3965,0.1502,0.0988,0.2017,3489,0.1442,0.1066,0.1818,3463,0.1668,0.1283,0.2053,4420,0.1479,0.1105,0.1852,3713,0.1759,0.1411,0.2108,3772,0.154,0.1176,0.1904
202609090511,2026-09-09,05,11R,4587,0.1819,0.129,0.2349,4035,0.2107,0.1657,0.2557,4619,0.149,0.0943,0.2036,3641,0.168,0.1312,0.2049,4470,0.1333,0.0958,0.1709,4376,0.1626,0.1324,0.1929
202609090512,2026-09-09,05,12R,3792,0.1562,0.1213,0.1911,5042,0.163,0.1278,0.1983,3997,0.1414,0.1034,0.1794,3740,0.1586,0.1178,0.1993,3813,0.161,0.1199,0.2022,4645,0.1465,0.1083,0.1847
202609091101,2026-09-09,11,01R,5157,0.1589,0.1167,0.2011,5177,0.1994,0.1586,0.2401,5329,0.17,0.1244,0.2155,5290,0.1571,0.1191,0.1951,5421,0.2294,0.1748,0.284,5343,0.1671,0.1211,0.2132
202609091102,2026-09-09,11,02R,5152,0.206,0.1589,0.2532,5167,0.1572,0.1076,0.2067,5216,0.1493,0.1136,0.185,5179,0.1791,0.1346,0.2236,5379,0.1623,0.1056,0.2189,5247,0.1825,0.1425,0.2226
202609091103,2026-09-09,11,03R,5134,0.1334,0.101,0.1659,5354,0.1634,0.1157,0.2112,5226,0.1442,0.1009,0.1875,5246,0.149,0.105,0.1929,5460,0.1749,0.1323,0.2175,5268,0.1937,0.1386,0.2488
202609091104,2026-09-09,11,04R,5136,0.1254,0.0907,0.1601,5154,0.1633,0.1234,0.2031,5275,0.128,0.0866,0.1694,5368,0.1321,0.0926,0.1716,5238,0.1575,0.1161,0.1988,5377,0.1815,0.1433,0.2197
202609091105,2026-09-09,11,05R,5106,0.1687,0.122,0.2155,5186,0.1668,0.1266,0.2071,5221,0.1407,0.1062,0.1752,5177,0.1964,0.1556,0.2371,5376,0.1574,0.1137,0.2011,5273,0.2096,0.1635,0.2558
